Constant   Base   Exp.   Coeff.    Minimum Log10(P)      Index   String                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
pi         11     -1/2   8/5       -2.1618841190729996   9       0.9A25530253337665572355385A066210884A4831095898810A409380866022711A1961308893319A87586507AA917885741A37A26513A8432525A3A310A626532650453479344067A889523712019A980127490527333A758335535953A178AA0614210050A33703005352286565265709298067899524440639759547588681A736A4782476A19259450A302569755A465769456149516740271263806173826679214A024209727598038387599713064A35427578A522397463A6A6096384771610773AA9A121537418975005142A464604A775450A5159A7702336127A616622374679559A6115010628090A157161749412738A894652226801338742417884979965A9A739A513A36806685172A80868520A7589A276A2A412652812234361A824926A6729544424422794983790A76A9A95A267383891AA731A57582965090097663357A90454044266695274125570614199A4433722612900895032772747A8984160251978895940441A3144235622AA20844857108AA105708867763792178035899484375A477286153959538894580671406A6A265944869013A63075A764A376420121A3A7A293A86459323337550659071A132725A6588255686047373A61839148A3708125A3128490987552992181984068147A697419683524206A2549766667A6830035A23930788476
pi         11     -1/2   5/7       -4.374453933750925    904     0.4484239A16426A234977936227050AA5510276927079953031974A562727611AA318A86965362007A612297A9252A18357193697493A467681A403367614182192325A257047287A05558899723029851692805575250441650206758967703116950169916622394382A1A95940847480448128875AA77287823A524710209390A0821113094167463A57A2080141544AA66009183391994175159565A4527238116071152080641661256742A7609020364125360A311639900969A88920559125095A82A4042A100816577165482112954A0935A49082074421734A214598A6556181693935117585420050A044539257519219A545A767089102819844880379928159605821550456583458549593452484516995245A61785727712990A1A8A33065333A566598A5545A20679354834550591477665262946222804593766500436519697208538478696AA00170370441228A3729A30235739083052699A0408A4A466468877457A953793682A8833731A1AA3A47594AA76955949687614AA650996320096551A9A5A77A4439834A380953443851726484758509A12631695A14841955A9A298A14219147A568122446A4663995A9555415077482548A9789177AAAAAAA3A8783395724A90069610381622596877734641A04708169335739194199926751263452A61091143506351
pi         11     -1/2   7/2       -3.3331516402756685   904     1.A7A305A1338742804137720774895A8596122168602436058A3467530A21903197899A3A763176A1669231503449A2007990684572A5A53227354867514609402249161348748203028425111238A941027A0A180365A827859796398309A2534723736308A187131520042711A04A89A8634616850873481A506190961758622786A4877409713004842804696127342535748531100A430603201546043757078988733A0253A38A138AA76695118A89326A4520130A0037459874A026569550550A50A8A1088882591226756579377303654174A4A37133285050438257A76883052582A05A7939643AA118963AA8A02588AA71523618728371790493859860686903128807173709A9A668A75849A465869321410252500507691119541680A0983A6508842156965279048A766069002260440436486A42AA297797578386A801A22004299A1641A551621294514824860378311487A82151411598348523518A65004A29479688A50474AA56758999805726523A428A0318837345202A6A47575110779920881206AA62703A37115562202A06A85490624A94084467166694A34903A262A585408A0846267099A042A732714810626A4992834679569339091A5A666666352306658135468A1A61294032991314146138182A96036938625231418231296971679935575177A1606821
pi         11     -1/2   2/7       -4.374453933750925    904     0.18560A3A726106314175380310686AA8870109377253A43457396422551090521A07AA06043696698693117659878511450814A51A38627499638A1496939552A313241006851131900013617312339A94A33244520A8A606A89693013930679293867283726975A3A3340882382562A76841055796887511310A420A7267481591910927125A50519164540910060661AA92448077A373A395206822686210759929029287476917269322739A969145236A4988026349481800393AA13746680542602111A4611922550452948855271166403801A803302A60951419718A5870002994A381427301217446484618815452080961AA6874947A2677739A6354598377723902330664622677A6788601584319A6506165402029789552933A262AA1A12487A1644923A1AAA6852498144113AA9014A7526A9911625311018A374920018042A4A509121563128288445068068393114151185675895A2556877184016A1A8626A71352A6765AA3159334355807962AA81A745A8874A445A827969422042616A08916AA966202098618177A859916583A342954856301203A71035060194117388AA633A1939737198671053184A8491616882221720308554414397A2976666666387977A3895421447169237725323935307A6A518A725505A1451595A5183770871036212026A2717A90365
pi         11     -1/2   7/5       -0.9905493112176949   13      0.87634684A1573998A4A3074751A16878A4709727900A5902363627434852A23517583A82091297194937572013A840890A59056229A8A8797736634964A6916009859471412A77456778320493158817010A6A7323702110A0176038334840AA1953736A0362A071287446107084643621258472786A07A77420251482508A0310A0641308260712241177684A47107A543674121270041790235228846837450313A12A162321637A7158874938707AA15771A652279188A2A68351A677005AA8AA91A9214047A133237099300453809568043951A863727A112020181100A97133465455624653816A5AA707A4822140101366506536957333729801A378A569057145711325073726218705874563A848A05A09392320A88A909370516607104039A426479A528939210A2414304693667546838A591A0639AA7830A52311572100853001783A7260866503055A64A776346809A04A798774A93928A55856536514264464116317136424086644967A61768954875A83362351337362089A941967427030A596A10524AA910681A29288909678472121A2476438256192949281A7A8016325645660362562549483A68342A10719924771A83777A70A44A35A2596464927047A9790489936627A74249A38A118057171905995566023715A0320A060775711717293181445207540690552
pi         11     -1/2   5/8       -4.374453933750925    904     0.3973761896A64761702695960A31782345023A12348314685585164964A6679AA4165347019AA006A67A2583A9053431777131992962272599A49987253A57199483662220409356048A6372A481671A00538462246303914301886650180713832856A1800274896603A31292775AA69866993907A825366272078768A573547A47587925496417956236A32015368944102562572A2586915182421663A0A488513A20AA04846A558109037952535159A0093603A4965561797705A90945A37A772152594A4511A5616991214341737A8343354522934460A788371619538651621299740685929374786A03603947536387119A0A266672077A57999A114986003A71383A09A1344535787123342927119005314728767A684063653525936180A42743298A6302450A33A75A182720043A305112811704AA82688929A927399855931599884A0747469619896001485A3109339219118A989A5066181878873308A643685687767950128882731812184641759634AA79713946A38298766816929A4569729016186879395639344584A162885247456370055233087522828838955A5835273530A264711283772A7494064028A01128A336861241775654409426AAAAAAA4949598977771241A15371996891018A95026A58868A300543091A855031809A7250025A926493810305586
pi         11     -1/2   8/3       -3.3331516402756685   904     1.56055140519253719475916325836718730A0651886017255268826133640081A5A4A2150009169335233485AA7A1AA586A62597A85A32A905062661552A43517A84389420936839700113981A769352394507814491A315A19552248A2293A9465A71744899244138158746A935072088116102018503730A6516117897339A6860641A0417968061011614057889263A954101A24486386780943260A2862800207245776A888452524266352550950A8258A81593A1376513A667A28869A4182654912AA921A98986A3888381234A033A0831890116499931803922945A29AA376140211992A198390A46141599462A1446944A03383A873802395634A76A1AA452187271A4A1A122997610031284A6133A4A8A52392454249A57A882573935A33278080674848AAA773382108A2578A543571260749A2743368532952284A8503888AA5595A780167AA800048813205580A2331927356100658401384790910879701669A04131573860A436A615AA75930135A8674320913A95458137018A6207292422391067252641846A2528611637475983823106797A9837A7775A2A51163170998A6A75732669610A33339817556154836048322181062A972792032804986666664243998125799894680517155117AA268A3102605A414A68765876A8424181537375A3A1379623A088573053
pi         11     -1/2   3/7       -4.374453933750925    904     0.2729145A539163A20802565A16474AA775016855A925A0A685589633821680788410A96360AA34491A2A180433761772121121A22A019401934024218A3032799A1A36156472174825557537AA18A595319A491123152490A52348457584646298574541553A358A044A6121356929450470708308A22021747146314A945712328271295193476228241261270090992AA836711064555A03230A133A193165892980429757048253A2A34003A8A27678AA47376593A73168100585A975569A10809358718469182892761243177279517996056585104A04491322083527A31A5559931A01209545732566971692767812311133854A20187099460559495268915605358034A0996933A064A077357870A29497637980585990788242A59939A984191764241183598554A1791912107205525775023A53817937A17027A001830026609A1A21273229474142166764664702A1762218184587889928475A816024985193A4A75244A0435447884A6528666339AA68501352201A11351408A308860937A41227A5534385869192680651892798704509881729457305A515A7635830725577AA3A5983035552919A707A271A718237A213332530467281076590999044444440209064578808766A7A2900537A358524664A47824A9276342122333478155A67515A931859499526525A97
pi         11     -1/2   7/4       -3.3331516402756685   904     0.A9515850719921402073910392448542A306663430121858451789270510A0164944A51A931638A633467080177A51003A45897836A852711372798926230475667A0861799241015697680606745476013A5A6401885413984948749704A68179119187045099070810021360A57A9A543178634259917965258645A30929866943524392049070024214023486137212729242706005215857100823021929039A44371A5681A74507455388A2609A9A168A78100705001922A437A568834825825A805450599996846113383294739157327637A7A73617142580219683A93441581296A5853A1A321AA609A31AA9A5684455362673099141909457A1984985898A0161440363735A54A889A9297A523298A1662056812558038A060A2763405049753259976628A32694579A933034556685775773243521551493A38397435400A665576A4A6320A8263106A2262412430194160799541080760849724267264532557A6A23A3445257925528929A4A40291326752145016441917810153523838060394A10440658AA86901A73608286656A58A98245867AA2042233633347A7245751315298204504231335A4A576A916907960313524A141789483471A04652A88888872670332961823450A861475714A0707623074096AA3018A198681162096706A3490894A1829263950858966
pi         11     -1/2   4/5       -2.0175304926193034   13      0.4A68270127173888291182742A588660442524160484499605204740433011360A64861599A170A54384325955463998376519513261A977126851A705A86881688022723A1775895444811906564AA400692458137175384172818481A639AA586210558051735700272669883268835A14958944A26777587492A27929989653735239679350A12A225A70128A382A78838A22862480892013613195863741333A107A56765A3692A401974384A361587A727692945266749231A8A85A3197936305937554A610819209A38002621523230253927805262A53901173069530886673789482A53062560314045A62908637A206919A9A2326668956174376763997A3A48854A91A5261A73403342636A9598981053844A6935152068814066721865412468A89148222122113A24973A0538AA54851337419A0AA916529296A325A00493317295457820221333481376128358620A4A7771911306A00448016936923A9A42085680A399A2A20220A7077672866AA65977983604550583599893873A109401844A242192A7936986274848199A2295890758A8A68847798A007531592A932519321006651A9514754322A167173825884590A616912A88441283430237375309746245190406851614245A43826A46640A42034079534920A3418121035127A38888953415572A67470399793
